source_package,source_version,component,upstream_field,family,decision,relationship,representative,rationale,source_url
textdescriptives,2.8.4,dependency_distance,prop_adjacent_dependency_relation_mean,dependency_characteristics,retained,representative,prop_adjacent_dependency_relation_mean,For each token distance=0 at ROOT else abs(token.head.i-token.i); include all tokens including ROOT and punctuation; mean across sentences of proportion of tokens with distance==1,https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/dependency_distance.html
textdescriptives,2.8.4,information_theory,entropy,information_theory,retained_derived,explicit per-token normalization,upstream_entropy_per_token,doc._.entropy / len(doc) = -sum(exp(token.prob)*token.prob for token in doc) / len(doc); all spaCy tokens; no additional log-base conversion,https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/information_theory.html
textdescriptives,2.8.4,coherence,first_order_coherence,semantic_coherence,retained,representative,first_order_coherence,"Mean of sentence.similarity(next_sentence) across adjacent doc.sents, using upstream nanmean for multiple pairs; retain upstream zero-vector behavior",https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/coherence.html
textstat,0.7.13,metrics,dale_chall_readability_score,readability,retained,representative,dale_chall_readability_score,0.1579 * (100 * difficult word occurrences / word count) + 0.0496 * words_per_sentence + 3.6365 if difficult percentage > 5; difficult threshold=0; textstat tokenization and easy-word list; inflections and proper names receive no special exemption,https://pypi.org/project/textstat/0.7.13/
textdescriptives,2.8.4,descriptive_stats,n_unique_tokens,length_productivity,excluded,algebraic,n_tokens;proportion_unique_tokens,Product of the retained count and type-token ratio when count > 0; 0 for no filtered tokens,https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/descriptive_stats.html
textdescriptives,2.8.4,descriptive_stats,n_characters,length_productivity,excluded,conceptual overlap,n_tokens;token_length_mean,"Character productivity overlaps length; upstream removes only literal spaces, not all whitespace; not an exact filtered-token product",https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/descriptive_stats.html
textdescriptives,2.8.4,descriptive_stats,n_sentences,length_productivity,excluded,algebraic conditional,n_tokens;sentence_length_mean,"For nonempty parsed documents, filtered token count divided by mean sentence length recovers sentence count except zero-length cases",https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/descriptive_stats.html
textdescriptives,2.8.4,descriptive_stats,token_length_median,lexical_surface_complexity,excluded,conceptual overlap,token_length_mean,Alternative location summary of the same surface-length distribution,https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/descriptive_stats.html
textdescriptives,2.8.4,descriptive_stats,sentence_length_median,sentence_syntactic_complexity,excluded,conceptual overlap,sentence_length_mean,Alternative location summary of the same sentence-length distribution,https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/descriptive_stats.html
textdescriptives,2.8.4,descriptive_stats,syllables_per_token_mean,lexical_surface_complexity,excluded,conceptual overlap,token_length_mean,"Alternative surface-complexity proxy based on Pyphen hyphenation, not an exact character-length duplicate",https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/descriptive_stats.html
textdescriptives,2.8.4,descriptive_stats,syllables_per_token_median,lexical_surface_complexity,excluded,conceptual overlap,token_length_mean,Additional location summary of syllabic surface complexity,https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/descriptive_stats.html
textdescriptives,2.8.4,descriptive_stats,syllables_per_token_std,lexical_surface_complexity,excluded,conceptual overlap,token_length_std,Alternative spread summary of surface complexity,https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/descriptive_stats.html
textdescriptives,2.8.4,pos_proportions,pos_prop_AUX,pos_composition,excluded,construct curation,pos_prop_verb,Auxiliary usage partly overlaps verb-based grammatical composition,https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/pos_proportions.html
textdescriptives,2.8.4,pos_proportions,pos_prop_DET,pos_composition,excluded,construct curation,pos_prop_pron;pos_prop_adp,Determiner usage adds another function-word proportion beyond retained pronouns and adpositions,https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/pos_proportions.html
textdescriptives,2.8.4,pos_proportions,pos_prop_INTJ,pos_composition,excluded,construct curation,none: intentionally omitted,Interjections are strongly genre-dependent,https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/pos_proportions.html
textdescriptives,2.8.4,pos_proportions,pos_prop_NUM,pos_composition,excluded,construct curation,none: intentionally omitted,Numerals are strongly prompt/topic-dependent,https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/pos_proportions.html
textdescriptives,2.8.4,pos_proportions,pos_prop_PART,pos_composition,excluded,construct curation,pos_prop_pron;pos_prop_adp,Particle category partly overlaps function-word composition,https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/pos_proportions.html
textdescriptives,2.8.4,pos_proportions,pos_prop_PROPN,pos_composition,excluded,construct curation,pos_prop_noun,Proper names are strongly prompt/topic-dependent; retain common nouns separately,https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/pos_proportions.html
textdescriptives,2.8.4,pos_proportions,pos_prop_PUNCT,pos_composition,excluded,construct curation,none: intentionally omitted,Punctuation composition is partly a formatting/tokenization diagnostic,https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/pos_proportions.html
textdescriptives,2.8.4,pos_proportions,pos_prop_SYM,pos_composition,excluded,construct curation,none: intentionally omitted,Symbols are strongly topic/format-dependent,https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/pos_proportions.html
textdescriptives,2.8.4,pos_proportions,pos_prop_X,pos_composition,excluded,construct curation,none: intentionally omitted,Unclassified tokens primarily diagnose annotation/input conditions,https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/pos_proportions.html
textdescriptives,2.8.4,pos_proportions,token.tag_ proportions (use_pos=False),pos_composition,excluded,alternative configuration,retained coarse POS proportions,Fine-grained model-specific tags split the retained grammatical categories and increase dimensionality,https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/pos_proportions.html
textdescriptives,2.8.4,dependency_distance,prop_adjacent_dependency_relation_std,dependency_characteristics,excluded,conceptual overlap,dependency_distance_std;prop_adjacent_dependency_relation_mean,Retain distance variation and mean adjacency without another correlated spread summary,https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/dependency_distance.html
textdescriptives,2.8.4,information_theory,perplexity,information_theory,excluded,algebraic,upstream_entropy_per_token,exp(total upstream entropy) is an algebraic restatement and retains length dependence,https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/information_theory.html
textdescriptives,2.8.4,information_theory,per_word_perplexity,information_theory,excluded,algebraic,upstream_entropy_per_token,exp(total upstream entropy)/len(doc) divides after exponentiation; it does not normalize the additive contribution,https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/information_theory.html
textdescriptives,2.8.4,coherence,second_order_coherence,semantic_coherence,excluded,conceptual overlap,first_order_coherence,Another lag of the same sentence-vector similarity; requires at least three sentences,https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/coherence.html
textdescriptives,2.8.4,readability,flesch_reading_ease,readability,excluded,conceptual overlap,token_length_mean;sentence_length_mean;dale_chall_readability_score,Linear combination of average sentence length and syllable length; avoid multiple surface readability variants,https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/readability.html
textdescriptives,2.8.4,readability,flesch_kincaid_grade,readability,excluded,conceptual overlap,token_length_mean;sentence_length_mean;dale_chall_readability_score,Different linear combination of the same two ingredients as Flesch reading ease; not a one-to-one affine transform of reading ease alone,https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/readability.html
textdescriptives,2.8.4,readability,smog,readability,excluded,conceptual overlap,token_length_mean;sentence_length_mean;dale_chall_readability_score,Polysyllabic density with square-root transform; source computes at >=3 sentences despite contradictory docstring; limited short-text suitability,https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/readability.html
textdescriptives,2.8.4,readability,gunning_fog,readability,excluded,conceptual overlap,token_length_mean;sentence_length_mean;dale_chall_readability_score,Combines sentence length and polysyllabic density; another surface readability variant,https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/readability.html
textdescriptives,2.8.4,readability,automated_readability_index,readability,excluded,algebraic,token_length_mean;sentence_length_mean;dale_chall_readability_score,Exactly 4.71*token_length_mean + 0.5*sentence_length_mean - 21.43 for finite inputs; adds no independent input,https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/readability.html
textdescriptives,2.8.4,readability,coleman_liau_index,readability,excluded,conceptual overlap,token_length_mean;sentence_length_mean;dale_chall_readability_score,Combines average character length and reciprocal sentence length; overlaps retained surface features,https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/readability.html
textdescriptives,2.8.4,readability,lix,readability,excluded,conceptual overlap,token_length_mean;sentence_length_mean;dale_chall_readability_score,Combines sentence length with long-token percentage; another surface readability variant,https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/readability.html
textdescriptives,2.8.4,readability,rix,readability,excluded,conceptual overlap,token_length_mean;sentence_length_mean;dale_chall_readability_score,Long-token count per sentence; algebraically related to LIX and average sentence length under common tokenization,https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/readability.html
textdescriptives,2.8.4,quality,n_stop_words,quality_filtering,excluded,construct curation,pos_prop_pron;pos_prop_adp,Raw stop-word count mixes length with function-word composition,https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/quality.html
textdescriptives,2.8.4,quality,alpha_ratio,quality_filtering,excluded,construct curation,none: intentionally omitted,"Alphabetic-token share is a corpus cleanliness measure, not equivalent to POS composition",https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/quality.html
textdescriptives,2.8.4,quality,mean_word_length,quality_filtering,excluded,construct curation,token_length_mean,Mean of all token lengths including punctuation; overlaps but is not identical to filtered mean,https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/quality.html
textdescriptives,2.8.4,quality,doc_length,quality_filtering,excluded,construct curation,n_tokens,All spaCy token count includes punctuation/apostrophe tokens; overlaps filtered productivity,https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/quality.html
textdescriptives,2.8.4,quality,proportion_ellipsis,quality_filtering,excluded,construct curation,none: intentionally omitted,Line-ending ellipsis heuristic targets incomplete web documents,https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/quality.html
textdescriptives,2.8.4,quality,proportion_bullet_points,quality_filtering,excluded,construct curation,none: intentionally omitted,Formatting heuristic depends on genre and assignment format,https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/quality.html
textdescriptives,2.8.4,quality,duplicate_line_chr_fraction,quality_filtering,excluded,construct curation,none: intentionally omitted,Exact repeated-line filter is format-sensitive,https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/quality.html
textdescriptives,2.8.4,quality,duplicate_paragraph_chr_fraction,quality_filtering,excluded,construct curation,none: intentionally omitted,Exact repeated-paragraph filter is format-sensitive,https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/quality.html
textdescriptives,2.8.4,quality,oov_ratio,quality_filtering,excluded,construct curation,none: intentionally omitted,Vector-coverage diagnostic depends on model vocabulary; not a direct synonym of lexical rarity,https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/quality.html
textdescriptives,2.8.4,quality,contains[lorem ipsum],quality_filtering,excluded,construct curation,none: intentionally omitted,Specific boilerplate string filter,https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/quality.html
textdescriptives,2.8.4,quality,symbol_to_word_ratio[#],quality_filtering,excluded,construct curation,none: intentionally omitted,Hashtag formatting heuristic,https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/quality.html
textdescriptives,2.8.4,quality,passed_quality_check,quality_filtering,excluded,construct curation,none: intentionally omitted,Boolean aggregation of hand-set corpus-filter thresholds; not a continuous writing-quality measure,https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/quality.html
textdescriptives,2.8.4,quality,top_ngram_chr_fraction[2],quality_filtering,excluded,construct curation,none: intentionally omitted,"Dominant 2-gram character fraction is a repetition filter, minimum count 3",https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/quality.html
textdescriptives,2.8.4,quality,top_ngram_chr_fraction[3],quality_filtering,excluded,construct curation,none: intentionally omitted,"Dominant 3-gram character fraction is a repetition filter, minimum count 3",https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/quality.html
textdescriptives,2.8.4,quality,top_ngram_chr_fraction[4],quality_filtering,excluded,construct curation,none: intentionally omitted,"Dominant 4-gram character fraction is a repetition filter, minimum count 3",https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/quality.html
textdescriptives,2.8.4,quality,duplicate_ngram_chr_fraction[5],quality_filtering,excluded,construct curation,none: intentionally omitted,Duplicate 5-gram character fraction is a repetition filter,https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/quality.html
textdescriptives,2.8.4,quality,duplicate_ngram_chr_fraction[6],quality_filtering,excluded,construct curation,none: intentionally omitted,Duplicate 6-gram character fraction is a repetition filter,https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/quality.html
textdescriptives,2.8.4,quality,duplicate_ngram_chr_fraction[7],quality_filtering,excluded,construct curation,none: intentionally omitted,Duplicate 7-gram character fraction is a repetition filter,https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/quality.html
textdescriptives,2.8.4,quality,duplicate_ngram_chr_fraction[8],quality_filtering,excluded,construct curation,none: intentionally omitted,Duplicate 8-gram character fraction is a repetition filter,https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/quality.html
textdescriptives,2.8.4,quality,duplicate_ngram_chr_fraction[9],quality_filtering,excluded,construct curation,none: intentionally omitted,Duplicate 9-gram character fraction is a repetition filter,https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/quality.html
textdescriptives,2.8.4,quality,duplicate_ngram_chr_fraction[10],quality_filtering,excluded,construct curation,none: intentionally omitted,Duplicate 10-gram character fraction is a repetition filter,https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/quality.html
textstat,0.7.13,public API,char_count,length_productivity,excluded,conceptual overlap,n_tokens;token_length_mean,"Character count overlaps productivity; default removes whitespace via upstream rules, unlike TD n_characters",https://pypi.org/project/textstat/0.7.13/
textstat,0.7.13,public API,letter_count,lexical_surface_complexity,excluded,conceptual overlap,token_length_mean,Letter count differs from character count by punctuation handling; not an exact cross-package duplicate,https://pypi.org/project/textstat/0.7.13/
textstat,0.7.13,public API,remove_punctuation,utility,excluded,conceptual overlap,none: utility,Text transformation; not a scalar feature,https://pypi.org/project/textstat/0.7.13/
textstat,0.7.13,public API,lexicon_count,length_productivity,excluded,conceptual overlap,n_tokens,Whitespace-based word splitting after punctuation removal differs from spaCy filtering,https://pypi.org/project/textstat/0.7.13/
textstat,0.7.13,public API,miniword_count,lexical_surface_complexity,excluded,conceptual overlap,token_length_mean,Thresholded short-word count overlaps surface complexity and length,https://pypi.org/project/textstat/0.7.13/
textstat,0.7.13,public API,syllable_count,lexical_surface_complexity,excluded,conceptual overlap,token_length_mean,CMUdict/Pyphen syllable total mixes productivity and surface complexity,https://pypi.org/project/textstat/0.7.13/
textstat,0.7.13,public API,sentence_count,sentence_syntactic_complexity,excluded,conceptual overlap,sentence_length_mean,Regex sentence splitting ignores <=2-word segments with a minimum of 1 for nonempty text; not identical to parser sentences,https://pypi.org/project/textstat/0.7.13/
textstat,0.7.13,public API,avg_sentence_length,sentence_syntactic_complexity,excluded,exact alias,sentence_length_mean,Exact alias of textstat words_per_sentence with the same instance settings; alternate tokenizer from TD,https://pypi.org/project/textstat/0.7.13/
textstat,0.7.13,public API,avg_syllables_per_word,lexical_surface_complexity,excluded,conceptual overlap,token_length_mean,Average syllable length duplicates the surface-complexity construct with different syllabification,https://pypi.org/project/textstat/0.7.13/
textstat,0.7.13,public API,avg_character_per_word,lexical_surface_complexity,excluded,conceptual overlap,token_length_mean,Character-per-word ratio is another surface-length measure with different tokenization,https://pypi.org/project/textstat/0.7.13/
textstat,0.7.13,public API,avg_letter_per_word,lexical_surface_complexity,excluded,conceptual overlap,token_length_mean,Letter-per-word ratio is another surface-length measure excluding punctuation,https://pypi.org/project/textstat/0.7.13/
textstat,0.7.13,public API,avg_sentence_per_word,sentence_syntactic_complexity,excluded,algebraic,sentence_length_mean,Reciprocal of words_per_sentence for positive counts before rounding,https://pypi.org/project/textstat/0.7.13/
textstat,0.7.13,public API,words_per_sentence,sentence_syntactic_complexity,excluded,exact alias,sentence_length_mean,Exact alias of textstat avg_sentence_length with the same instance settings; alternate tokenizer from TD,https://pypi.org/project/textstat/0.7.13/
textstat,0.7.13,public API,count_complex_arabic_words,non_english,excluded,outside language scope,none: outside English inventory,Language-specific measure; not intended for the English v1 contract,https://pypi.org/project/textstat/0.7.13/
textstat,0.7.13,public API,count_arabic_syllables,non_english,excluded,outside language scope,none: outside English inventory,Language-specific measure; not intended for the English v1 contract,https://pypi.org/project/textstat/0.7.13/
textstat,0.7.13,public API,count_faseeh,non_english,excluded,outside language scope,none: outside English inventory,Language-specific measure; not intended for the English v1 contract,https://pypi.org/project/textstat/0.7.13/
textstat,0.7.13,public API,count_arabic_long_words,non_english,excluded,outside language scope,none: outside English inventory,Language-specific measure; not intended for the English v1 contract,https://pypi.org/project/textstat/0.7.13/
textstat,0.7.13,public API,flesch_reading_ease,readability,excluded,conceptual overlap,dale_chall_readability_score;token_length_mean;sentence_length_mean,Alternative readability formula using overlapping surface/familiar-word ingredients; same-name TD outputs need not be numerically identical,https://pypi.org/project/textstat/0.7.13/
textstat,0.7.13,public API,flesch_kincaid_grade,readability,excluded,conceptual overlap,dale_chall_readability_score;token_length_mean;sentence_length_mean,Alternative readability formula using overlapping surface/familiar-word ingredients; same-name TD outputs need not be numerically identical,https://pypi.org/project/textstat/0.7.13/
textstat,0.7.13,public API,polysyllabcount,lexical_surface_complexity,excluded,conceptual overlap,token_length_mean,Thresholded syllabic complexity count mixes length and complexity,https://pypi.org/project/textstat/0.7.13/
textstat,0.7.13,public API,smog_index,readability,excluded,conceptual overlap,dale_chall_readability_score;token_length_mean;sentence_length_mean,Alternative readability formula using overlapping surface/familiar-word ingredients; same-name TD outputs need not be numerically identical,https://pypi.org/project/textstat/0.7.13/
textstat,0.7.13,public API,coleman_liau_index,readability,excluded,conceptual overlap,dale_chall_readability_score;token_length_mean;sentence_length_mean,Alternative readability formula using overlapping surface/familiar-word ingredients; same-name TD outputs need not be numerically identical,https://pypi.org/project/textstat/0.7.13/
textstat,0.7.13,public API,automated_readability_index,readability,excluded,conceptual overlap,dale_chall_readability_score;token_length_mean;sentence_length_mean,Alternative readability formula using overlapping surface/familiar-word ingredients; same-name TD outputs need not be numerically identical,https://pypi.org/project/textstat/0.7.13/
textstat,0.7.13,public API,linsear_write_formula,readability,excluded,conceptual overlap,dale_chall_readability_score;token_length_mean;sentence_length_mean,Alternative readability formula using overlapping surface/familiar-word ingredients; same-name TD outputs need not be numerically identical,https://pypi.org/project/textstat/0.7.13/
textstat,0.7.13,public API,difficult_words,lexical_surface_complexity,excluded,conceptual overlap,dale_chall_readability_score,Familiar-word count overlaps retained Dale-Chall ingredients; defaults unique=True and threshold=2 differ from score occurrences and threshold=0,https://pypi.org/project/textstat/0.7.13/
textstat,0.7.13,public API,difficult_words_list,lexical_surface_complexity,excluded,conceptual overlap,dale_chall_readability_score,"Non-scalar intermediate word list, not an additional document feature",https://pypi.org/project/textstat/0.7.13/
textstat,0.7.13,public API,is_difficult_word,lexical_surface_complexity,excluded,conceptual overlap,dale_chall_readability_score,"Word-level predicate used by familiar-word measures, not a separate document score",https://pypi.org/project/textstat/0.7.13/
textstat,0.7.13,public API,is_easy_word,lexical_surface_complexity,excluded,conceptual overlap,dale_chall_readability_score,"Complementary word-level predicate for single words, not a document score",https://pypi.org/project/textstat/0.7.13/
textstat,0.7.13,public API,gunning_fog,readability,excluded,conceptual overlap,dale_chall_readability_score;token_length_mean;sentence_length_mean,Alternative readability formula using overlapping surface/familiar-word ingredients; same-name TD outputs need not be numerically identical,https://pypi.org/project/textstat/0.7.13/
textstat,0.7.13,public API,lix,readability,excluded,conceptual overlap,dale_chall_readability_score;token_length_mean;sentence_length_mean,Alternative readability formula using overlapping surface/familiar-word ingredients; same-name TD outputs need not be numerically identical,https://pypi.org/project/textstat/0.7.13/
textstat,0.7.13,public API,rix,readability,excluded,conceptual overlap,dale_chall_readability_score;token_length_mean;sentence_length_mean,Alternative readability formula using overlapping surface/familiar-word ingredients; same-name TD outputs need not be numerically identical,https://pypi.org/project/textstat/0.7.13/
textstat,0.7.13,public API,spache_readability,readability,excluded,conceptual overlap,dale_chall_readability_score;token_length_mean;sentence_length_mean,Familiar-word readability overlaps Dale-Chall and targets early-grade reading,https://pypi.org/project/textstat/0.7.13/
textstat,0.7.13,public API,dale_chall_readability_score_v2,readability,excluded,conceptual overlap,dale_chall_readability_score;token_length_mean;sentence_length_mean,Uses default difficult-word threshold=2 and raw_score > 0.05 correction instead of difficult percentage >5; retain the explicitly audited original function,https://pypi.org/project/textstat/0.7.13/
textstat,0.7.13,public API,text_standard,readability,excluded,conceptual overlap,dale_chall_readability_score;token_length_mean;sentence_length_mean,Consensus aggregation of readability scores adds redundant derived information and optional string output,https://pypi.org/project/textstat/0.7.13/
textstat,0.7.13,public API,reading_time,length_productivity,excluded,algebraic,n_tokens;token_length_mean,Fixed character-time multiplier is an algebraic rescaling of character count,https://pypi.org/project/textstat/0.7.13/
textstat,0.7.13,public API,fernandez_huerta,non_english,excluded,outside language scope,none: outside English inventory,Language-specific measure; not intended for the English v1 contract,https://pypi.org/project/textstat/0.7.13/
textstat,0.7.13,public API,szigriszt_pazos,non_english,excluded,outside language scope,none: outside English inventory,Language-specific measure; not intended for the English v1 contract,https://pypi.org/project/textstat/0.7.13/
textstat,0.7.13,public API,gutierrez_polini,non_english,excluded,outside language scope,none: outside English inventory,Language-specific measure; not intended for the English v1 contract,https://pypi.org/project/textstat/0.7.13/
textstat,0.7.13,public API,crawford,non_english,excluded,outside language scope,none: outside English inventory,Language-specific measure; not intended for the English v1 contract,https://pypi.org/project/textstat/0.7.13/
textstat,0.7.13,public API,osman,non_english,excluded,outside language scope,none: outside English inventory,Language-specific measure; not intended for the English v1 contract,https://pypi.org/project/textstat/0.7.13/
textstat,0.7.13,public API,gulpease_index,non_english,excluded,outside language scope,none: outside English inventory,Language-specific measure; not intended for the English v1 contract,https://pypi.org/project/textstat/0.7.13/
textstat,0.7.13,public API,long_word_count,lexical_surface_complexity,excluded,conceptual overlap,token_length_mean,Thresholded character-length count overlaps surface complexity,https://pypi.org/project/textstat/0.7.13/
textstat,0.7.13,public API,monosyllabcount,lexical_surface_complexity,excluded,conceptual overlap,token_length_mean,Thresholded syllabic count mixes surface complexity and productivity,https://pypi.org/project/textstat/0.7.13/
textstat,0.7.13,public API,wiener_sachtextformel,non_english,excluded,outside language scope,none: outside English inventory,Language-specific measure; not intended for the English v1 contract,https://pypi.org/project/textstat/0.7.13/
textstat,0.7.13,public API,mcalpine_eflaw,readability,excluded,conceptual overlap,dale_chall_readability_score;token_length_mean;sentence_length_mean,Alternative readability formula using overlapping surface/familiar-word ingredients; same-name TD outputs need not be numerically identical,https://pypi.org/project/textstat/0.7.13/
