"backend","provider","model_id","endpoint","live_tested","batch_tested","reasoning_mode","package_version","test_date","status","notes","official_catalog_url"
"openai","OpenAI","gpt-4o-mini","responses","TRUE","TRUE","provider-default","1.3.1","2026-09-05","tested-current","Compatibility smoke run: live passed; batch passed. Provider catalog status at check: current.","https://developers.openai.com/api/docs/models/all"
"openai","OpenAI","gpt-4o","responses","TRUE","TRUE","provider-default","1.3.1","2026-09-05","tested-current","Compatibility smoke run: live passed; batch passed. Provider catalog status at check: current.","https://developers.openai.com/api/docs/models/all"
"anthropic","Anthropic","claude-fable-5-1","messages","TRUE","TRUE","none","1.3.1","2026-09-05","tested-current","Compatibility smoke run: live passed; batch passed. Provider catalog status at check: current.","https://platform.claude.com/docs/en/models/overview"
"anthropic","Anthropic","claude-opus-5","messages","TRUE","TRUE","none","1.3.1","2026-09-05","tested-current","Compatibility smoke run: live passed; batch passed. Provider catalog status at check: current.","https://platform.claude.com/docs/en/models/overview"
"anthropic","Anthropic","claude-sonnet-5","messages","TRUE","TRUE","none","1.3.1","2026-09-05","tested-current","Compatibility smoke run: live passed; batch passed. Provider catalog status at check: current.","https://platform.claude.com/docs/en/models/overview"
"anthropic","Anthropic","claude-haiku-4-5-20251001","messages","TRUE","TRUE","none","1.3.1","2026-09-05","tested-current","Compatibility smoke run: live passed; batch passed. Provider catalog status at check: current.","https://platform.claude.com/docs/en/models/overview"
"anthropic","Anthropic","claude-haiku-4-5-20251001","messages","TRUE","FALSE","enabled","1.3.1","2026-09-05","tested-current","Compatibility smoke run: live passed; batch not implemented. Provider catalog status at check: supplemental.","https://platform.claude.com/docs/en/models/overview"
"gemini","Google","gemini-3.8-flash","generateContent","TRUE","FALSE","thinking_level=low","1.3.1","2026-09-05","tested-current","Compatibility smoke run: live passed; batch not implemented. Provider catalog status at check: current.","https://ai.google.dev/gemini-api/docs/models"
"gemini","Google","gemini-3.8-flash","batchGenerateContent","FALSE","TRUE","thinking_level=low","1.3.1","2026-09-05","tested-current","Compatibility smoke run: live not implemented; batch passed. Provider catalog status at check: current.","https://ai.google.dev/gemini-api/docs/models"
"gemini","Google","gemini-3.7-flash","generateContent","TRUE","FALSE","thinking_level=low","1.3.1","2026-09-05","tested-current","Compatibility smoke run: live passed; batch not implemented. Provider catalog status at check: current.","https://ai.google.dev/gemini-api/docs/models"
"gemini","Google","gemini-3.7-flash","batchGenerateContent","FALSE","TRUE","thinking_level=low","1.3.1","2026-09-05","tested-current","Compatibility smoke run: live not implemented; batch passed. Provider catalog status at check: current.","https://ai.google.dev/gemini-api/docs/models"
"gemini","Google","gemini-3.6-flash","generateContent","TRUE","FALSE","thinking_level=low","1.3.1","2026-09-05","tested-current","Compatibility smoke run: live passed; batch not implemented. Provider catalog status at check: current.","https://ai.google.dev/gemini-api/docs/models"
"gemini","Google","gemini-3.6-flash","batchGenerateContent","FALSE","TRUE","thinking_level=low","1.3.1","2026-09-05","tested-current","Compatibility smoke run: live not implemented; batch passed. Provider catalog status at check: current.","https://ai.google.dev/gemini-api/docs/models"
"gemini","Google","gemini-3.5-flash","generateContent","TRUE","FALSE","thinking_level=low","1.3.1","2026-09-05","tested-current","Compatibility smoke run: live passed; batch not implemented. Provider catalog status at check: current.","https://ai.google.dev/gemini-api/docs/models"
"gemini","Google","gemini-3.5-flash","batchGenerateContent","FALSE","TRUE","thinking_level=low","1.3.1","2026-09-05","tested-current","Compatibility smoke run: live not implemented; batch passed. Provider catalog status at check: current.","https://ai.google.dev/gemini-api/docs/models"
"gemini","Google","gemini-3.5-flash-lite","generateContent","TRUE","FALSE","thinking_level=low","1.3.1","2026-09-05","tested-current","Compatibility smoke run: live passed; batch not implemented. Provider catalog status at check: current.","https://ai.google.dev/gemini-api/docs/models"
"gemini","Google","gemini-3.5-flash-lite","batchGenerateContent","FALSE","TRUE","thinking_level=low","1.3.1","2026-09-05","tested-current","Compatibility smoke run: live not implemented; batch passed. Provider catalog status at check: current.","https://ai.google.dev/gemini-api/docs/models"
"gemini","Google","gemini-3.1-flash-lite","generateContent","TRUE","FALSE","thinking_level=low","1.3.1","2026-09-05","tested-current","Compatibility smoke run: live passed; batch not implemented. Provider catalog status at check: current.","https://ai.google.dev/gemini-api/docs/models"
"gemini","Google","gemini-3.1-flash-lite","batchGenerateContent","FALSE","TRUE","thinking_level=low","1.3.1","2026-09-05","tested-current","Compatibility smoke run: live not implemented; batch passed. Provider catalog status at check: current.","https://ai.google.dev/gemini-api/docs/models"
"gemini","Google","gemini-3.1-pro-preview","generateContent","TRUE","FALSE","thinking_level=low","1.3.1","2026-09-05","tested-current","Compatibility smoke run: live passed; batch not implemented. Provider catalog status at check: preview.","https://ai.google.dev/gemini-api/docs/models"
"gemini","Google","gemini-3.1-pro-preview","batchGenerateContent","FALSE","TRUE","thinking_level=low","1.3.1","2026-09-05","tested-current","Compatibility smoke run: live not implemented; batch passed. Provider catalog status at check: preview.","https://ai.google.dev/gemini-api/docs/models"
"gemini","Google","gemini-3-flash-preview","generateContent","TRUE","FALSE","thinking_level=low","1.3.1","2026-09-05","tested-current","Compatibility smoke run: live passed; batch not implemented. Provider catalog status at check: preview.","https://ai.google.dev/gemini-api/docs/models"
"gemini","Google","gemini-3-flash-preview","batchGenerateContent","FALSE","TRUE","thinking_level=low","1.3.1","2026-09-05","tested-current","Compatibility smoke run: live not implemented; batch passed. Provider catalog status at check: preview.","https://ai.google.dev/gemini-api/docs/models"
"gemini","Google","gemini-2.5-flash","generateContent","FALSE","FALSE","thinking_level=low","1.3.1","2026-09-05","unverified","Compatibility smoke run: live failed-error-row; batch not implemented. Provider catalog status at check: current.","https://ai.google.dev/gemini-api/docs/models"
"gemini","Google","gemini-2.5-flash","batchGenerateContent","FALSE","FALSE","thinking_level=low","1.3.1","2026-09-05","unverified","Compatibility smoke run: live not implemented; batch failed-error-row. Provider catalog status at check: current.","https://ai.google.dev/gemini-api/docs/models"
"gemini","Google","gemini-2.5-flash-lite","generateContent","FALSE","FALSE","thinking_level=low","1.3.1","2026-09-05","unverified","Compatibility smoke run: live failed-error-row; batch not implemented. Provider catalog status at check: current.","https://ai.google.dev/gemini-api/docs/models"
"gemini","Google","gemini-2.5-flash-lite","batchGenerateContent","FALSE","FALSE","thinking_level=low","1.3.1","2026-09-05","unverified","Compatibility smoke run: live not implemented; batch failed-error-row. Provider catalog status at check: current.","https://ai.google.dev/gemini-api/docs/models"
"gemini","Google","gemini-2.5-pro","generateContent","FALSE","FALSE","thinking_level=low","1.3.1","2026-09-05","unverified","Compatibility smoke run: live failed-error-row; batch not implemented. Provider catalog status at check: current.","https://ai.google.dev/gemini-api/docs/models"
"gemini","Google","gemini-2.5-pro","batchGenerateContent","FALSE","FALSE","thinking_level=low","1.3.1","2026-09-05","unverified","Compatibility smoke run: live not implemented; batch failed-error-row. Provider catalog status at check: current.","https://ai.google.dev/gemini-api/docs/models"
"vertex","Google","gemini-3.8-flash","generateContent","TRUE","FALSE","thinking_level=low","1.3.1","2026-09-05","tested-current","Compatibility smoke run: live passed; batch not implemented. Provider catalog status at check: current.","https://docs.cloud.google.com/gemini-enterprise-agent-platform/models/model-versions"
"vertex","Google","gemini-3.7-flash","generateContent","TRUE","FALSE","thinking_level=low","1.3.1","2026-09-05","tested-current","Compatibility smoke run: live passed; batch not implemented. Provider catalog status at check: current.","https://docs.cloud.google.com/gemini-enterprise-agent-platform/models/model-versions"
"vertex","Google","gemini-3.6-flash","generateContent","TRUE","FALSE","thinking_level=low","1.3.1","2026-09-05","tested-current","Compatibility smoke run: live passed; batch not implemented. Provider catalog status at check: current.","https://docs.cloud.google.com/gemini-enterprise-agent-platform/models/model-versions"
"vertex","Google","gemini-3.5-flash","generateContent","TRUE","FALSE","thinking_level=low","1.3.1","2026-09-05","tested-current","Compatibility smoke run: live passed; batch not implemented. Provider catalog status at check: current.","https://docs.cloud.google.com/gemini-enterprise-agent-platform/models/model-versions"
"vertex","Google","gemini-3.5-flash-lite","generateContent","TRUE","FALSE","thinking_level=low","1.3.1","2026-09-05","tested-current","Compatibility smoke run: live passed; batch not implemented. Provider catalog status at check: current.","https://docs.cloud.google.com/gemini-enterprise-agent-platform/models/model-versions"
"vertex","Google","gemini-3.1-flash-lite","generateContent","TRUE","FALSE","thinking_level=low","1.3.1","2026-09-05","tested-current","Compatibility smoke run: live passed; batch not implemented. Provider catalog status at check: current.","https://docs.cloud.google.com/gemini-enterprise-agent-platform/models/model-versions"
"vertex","Google","gemini-3.1-pro-preview","generateContent","TRUE","FALSE","thinking_level=low","1.3.1","2026-09-05","tested-current","Compatibility smoke run: live passed; batch not implemented. Provider catalog status at check: preview.","https://docs.cloud.google.com/gemini-enterprise-agent-platform/models/model-versions"
"vertex","Google","gemini-3-flash-preview","generateContent","TRUE","FALSE","thinking_level=low","1.3.1","2026-09-05","tested-current","Compatibility smoke run: live passed; batch not implemented. Provider catalog status at check: preview.","https://docs.cloud.google.com/gemini-enterprise-agent-platform/models/model-versions"
"vertex","Google","gemini-2.5-flash","generateContent","TRUE","FALSE","thinking_budget=0","1.3.1","2026-09-05","tested-current","Compatibility smoke run: live passed; batch not implemented. Provider catalog status at check: current.","https://docs.cloud.google.com/gemini-enterprise-agent-platform/models/model-versions"
"vertex","Google","gemini-2.5-flash-lite","generateContent","TRUE","FALSE","thinking_budget=0","1.3.1","2026-09-05","tested-current","Compatibility smoke run: live passed; batch not implemented. Provider catalog status at check: current.","https://docs.cloud.google.com/gemini-enterprise-agent-platform/models/model-versions"
"vertex","Google","gemini-2.5-pro","generateContent","FALSE","FALSE","thinking_budget=0","1.3.1","2026-09-05","unverified","Compatibility smoke run: live failed-error-row; batch not implemented. Provider catalog status at check: current.","https://docs.cloud.google.com/gemini-enterprise-agent-platform/models/model-versions"
"together","Together AI","thinkingmachines/Inkling","chat.completions","TRUE","FALSE","none","1.3.1","2026-09-05","tested-current","Compatibility smoke run: live passed; batch not implemented. Provider catalog status at check: current.","https://docs.together.ai/docs/serverless/models"
"together","Together AI","MiniMaxAI/MiniMax-M3","chat.completions","TRUE","FALSE","none","1.3.1","2026-09-05","tested-current","Compatibility smoke run: live passed; batch not implemented. Provider catalog status at check: current.","https://docs.together.ai/docs/serverless/models"
"together","Together AI","Qwen/Qwen3.8-2.4T-A95B","chat.completions","FALSE","FALSE","none","1.3.1","2026-09-05","unverified","Compatibility smoke run: live failed-error-row; batch not implemented. Provider catalog status at check: current.","https://docs.together.ai/docs/serverless/models"
"together","Together AI","Qwen/Qwen3.7-Max","chat.completions","FALSE","FALSE","none","1.3.1","2026-09-05","unverified","Compatibility smoke run: live failed-error-row; batch not implemented. Provider catalog status at check: current.","https://docs.together.ai/docs/serverless/models"
"together","Together AI","Qwen/Qwen3.6-Plus","chat.completions","FALSE","FALSE","none","1.3.1","2026-09-05","unverified","Compatibility smoke run: live failed-error-row; batch not implemented. Provider catalog status at check: current.","https://docs.together.ai/docs/serverless/models"
"together","Together AI","Qwen/Qwen3.5-9B","chat.completions","TRUE","FALSE","none","1.3.1","2026-09-05","tested-current","Compatibility smoke run: live passed; batch not implemented. Provider catalog status at check: current.","https://docs.together.ai/docs/serverless/models"
"together","Together AI","moonshotai/Kimi-K3","chat.completions","TRUE","FALSE","none","1.3.1","2026-09-05","tested-current","Compatibility smoke run: live passed; batch not implemented. Provider catalog status at check: current.","https://docs.together.ai/docs/serverless/models"
"together","Together AI","zai-org/GLM-5.3","chat.completions","TRUE","FALSE","none","1.3.1","2026-09-05","tested-current","Compatibility smoke run: live passed; batch not implemented. Provider catalog status at check: current.","https://docs.together.ai/docs/serverless/models"
"together","Together AI","zai-org/GLM-5.3-Flash","chat.completions","TRUE","FALSE","none","1.3.1","2026-09-05","tested-current","Compatibility smoke run: live passed; batch not implemented. Provider catalog status at check: current.","https://docs.together.ai/docs/serverless/models"
"together","Together AI","zai-org/GLM-5.2","chat.completions","TRUE","FALSE","none","1.3.1","2026-09-05","tested-current","Compatibility smoke run: live passed; batch not implemented. Provider catalog status at check: current.","https://docs.together.ai/docs/serverless/models"
"together","Together AI","openai/gpt-oss-120b","chat.completions","TRUE","FALSE","none","1.3.1","2026-09-05","tested-current","Compatibility smoke run: live passed; batch not implemented. Provider catalog status at check: current.","https://docs.together.ai/docs/serverless/models"
"together","Together AI","deepseek-ai/DeepSeek-V4-Flash-0731","chat.completions","TRUE","FALSE","none","1.3.1","2026-09-05","tested-current","Compatibility smoke run: live passed; batch not implemented. Provider catalog status at check: current.","https://docs.together.ai/docs/serverless/models"
"together","Together AI","deepseek-ai/DeepSeek-V4-Pro-0813","chat.completions","TRUE","FALSE","none","1.3.1","2026-09-05","tested-current","Compatibility smoke run: live passed; batch not implemented. Provider catalog status at check: current.","https://docs.together.ai/docs/serverless/models"
"together","Together AI","meta-llama/Llama-3.3-70B-Instruct-Turbo","chat.completions","TRUE","FALSE","none","1.3.1","2026-09-05","tested-current","Compatibility smoke run: live passed; batch not implemented. Provider catalog status at check: current.","https://docs.together.ai/docs/serverless/models"
"together","Together AI","Qwen/Qwen3.7-Plus","chat.completions","FALSE","FALSE","none","1.3.1","2026-09-05","unverified","Compatibility smoke run: live failed-error-row; batch not implemented. Provider catalog status at check: current.","https://docs.together.ai/docs/serverless/models"
"together","Together AI","Prism-ML/Ternary-Bonsai-27B","chat.completions","TRUE","FALSE","none","1.3.1","2026-09-05","tested-current","Compatibility smoke run: live passed; batch not implemented. Provider catalog status at check: current.","https://docs.together.ai/docs/serverless/models"
"together","Together AI","meta-models/Muse-Glimmer-30B","chat.completions","TRUE","FALSE","none","1.3.1","2026-09-05","tested-current","Compatibility smoke run: live passed; batch not implemented. Provider catalog status at check: current.","https://docs.together.ai/docs/serverless/models"
"together","Together AI","Qwen/Qwen3.8-Flash","chat.completions","FALSE","FALSE","none","1.3.1","2026-09-05","unverified","Compatibility smoke run: live failed-error-row; batch not implemented. Provider catalog status at check: current.","https://docs.together.ai/docs/serverless/models"
"gemini","Google","gemini-3-pro-preview","generateContent","false","false","thinking_level=low","1.3.1","2026-09-02","retired","Retired provider identifier retained only to document historical package results; do not use for new runs.","https://ai.google.dev/gemini-api/docs/models"
