schema,position,feature,source_package,source_version,component,upstream_field,family,type,unit,interpretation,configuration,definition,requirements,missing_behavior,source_url
writing_features_v2,12,pos_prop_adp,textdescriptives,2.8.4,pos_proportions,pos_prop_ADP,pos_composition,double,proportion,Larger means a larger share of ADP tokens; no universal quality direction,spacy=3.7.5; model=en_core_web_lg@3.7.1; default model pipeline; input text unchanged; use_pos=True; add_all_tags=True,Count token.pos_ == ADP divided by len(doc); denominator includes punctuation and whitespace,English tokenizer; POS from model tagger and attribute_ruler,NA for zero tokens; absent category is a valid 0 when annotations exist,https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/pos_proportions.html
writing_features_v2,13,pos_prop_cconj,textdescriptives,2.8.4,pos_proportions,pos_prop_CCONJ,pos_composition,double,proportion,Larger means a larger share of CCONJ tokens; no universal quality direction,spacy=3.7.5; model=en_core_web_lg@3.7.1; default model pipeline; input text unchanged; use_pos=True; add_all_tags=True,Count token.pos_ == CCONJ divided by len(doc); denominator includes punctuation and whitespace,English tokenizer; POS from model tagger and attribute_ruler,NA for zero tokens; absent category is a valid 0 when annotations exist,https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/pos_proportions.html
writing_features_v2,14,pos_prop_sconj,textdescriptives,2.8.4,pos_proportions,pos_prop_SCONJ,pos_composition,double,proportion,Larger means a larger share of SCONJ tokens; no universal quality direction,spacy=3.7.5; model=en_core_web_lg@3.7.1; default model pipeline; input text unchanged; use_pos=True; add_all_tags=True,Count token.pos_ == SCONJ divided by len(doc); denominator includes punctuation and whitespace,English tokenizer; POS from model tagger and attribute_ruler,NA for zero tokens; absent category is a valid 0 when annotations exist,https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/pos_proportions.html
writing_features_v2,15,dependency_distance_mean,textdescriptives,2.8.4,dependency_distance,dependency_distance_mean,dependency_characteristics,double,token positions,Larger means more distant heads on average,spacy=3.7.5; model=en_core_web_lg@3.7.1; default model pipeline; input text unchanged,For each token distance=0 at ROOT else abs(token.head.i-token.i); include all tokens including ROOT and punctuation; mean across sentence mean distances; sentences weighted equally,English tokenizer; DEP and SENT_START from model parser,NA for zero tokens; one sentence has between-sentence SD 0,https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/dependency_distance.html
writing_features_v2,16,dependency_distance_std,textdescriptives,2.8.4,dependency_distance,dependency_distance_std,dependency_characteristics,double,token positions,Larger means greater between-sentence variation in mean dependency distance,spacy=3.7.5; model=en_core_web_lg@3.7.1; default model pipeline; input text unchanged,For each token distance=0 at ROOT else abs(token.head.i-token.i); include all tokens including ROOT and punctuation; population SD (ddof=0) across sentence mean distances; sentences weighted equally,English tokenizer; DEP and SENT_START from model parser,NA for zero tokens; one sentence has between-sentence SD 0,https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/dependency_distance.html
writing_features_v2,17,prop_adjacent_dependency_relation_mean,textdescriptives,2.8.4,dependency_distance,prop_adjacent_dependency_relation_mean,dependency_characteristics,double,proportion,Larger means more adjacent dependencies,spacy=3.7.5; model=en_core_web_lg@3.7.1; default model pipeline; input text unchanged,For each token distance=0 at ROOT else abs(token.head.i-token.i); include all tokens including ROOT and punctuation; mean across sentences of proportion of tokens with distance==1,English tokenizer; DEP and SENT_START from model parser,NA for zero tokens; one sentence has between-sentence SD 0,https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/dependency_distance.html
writing_features_v2,18,upstream_entropy_per_token,textdescriptives,2.8.4,information_theory,entropy,information_theory,double,upstream weighted contribution per spaCy token,Average upstream contribution; length-normalized but not Shannon entropy or cross-entropy; no universal quality direction,spacy=3.7.5; model=en_core_web_lg@3.7.1; default model pipeline; input text unchanged; textdescriptives/information_theory loads English lexeme_prob; no custom lexeme_settings,doc._.entropy / len(doc) = -sum(exp(token.prob)*token.prob for token in doc) / len(doc); all spaCy tokens; no additional log-base conversion,English tokenizer; lexeme_prob table from spacy-lookups-data=1.0.5; model default lexeme_settings absent so OOV token.prob=-20.0,"NA for zero tokens; unavailable lexeme_prob is an environment error, not permitted all-NA output",https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/information_theory.html
writing_features_v2,19,first_order_coherence,textdescriptives,2.8.4,coherence,first_order_coherence,semantic_coherence,double,cosine similarity,Larger means adjacent sentence vectors are more similar; repetition can also raise similarity,spacy=3.7.5; model=en_core_web_lg@3.7.1; default model pipeline; input text unchanged,"Mean of sentence.similarity(next_sentence) across adjacent doc.sents, using upstream nanmean for multiple pairs; retain upstream zero-vector behavior",English tokenizer; SENT_START; static 300-dimensional vectors from en_core_web_lg=3.7.1,NA for fewer than 2 sentences; zero-vector comparisons may return 0 (or 1 for identical token sequences) with spaCy warnings; absent model vectors is an environment error,https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/coherence.html
writing_features_v2,20,dale_chall_readability_score,textstat,0.7.13,metrics,dale_chall_readability_score,readability,double,Dale-Chall score,Larger means harder reading under the textstat English familiar-word formula; not a writing-quality score,textstat instance; lang=en_US; default rounding disabled; unmodified text; default punctuation/apostrophe handling,Let D = 100 * difficult word occurrences / word count; score = 0.1579*D + 0.0496*words_per_sentence + correction; correction=3.6365 if D>5 else 0; difficult threshold=0; textstat tokenization and easy-word list; inflections and proper names receive no special exemption,textstat English easy-word list; preinstalled NLTK CMUdict; Pyphen=0.18.1 English dictionary; no spaCy annotations,0 when textstat word count is 0; missing CMUdict/easy-word resources is an environment error,https://pypi.org/project/textstat/0.7.13/
writing_features_v2,21,n_characters,textdescriptives,2.8.4,descriptive_stats,n_characters,length_productivity,integer,characters,Larger means greater text productivity under the stated counting rule,spacy=3.7.5; model=en_core_web_lg@3.7.1; default model pipeline; input text unchanged,"len(doc.text.replace(' ', '')); removes literal ASCII spaces only; tabs and newlines remain",English tokenizer,0 for empty text or only literal spaces,https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/descriptive_stats.html
writing_features_v2,22,token_length_median,textdescriptives,2.8.4,descriptive_stats,token_length_median,lexical_surface_complexity,double,characters per token,Upstream scalar summary of token_length_median; no universal writing-quality direction,spacy=3.7.5; model=en_core_web_lg@3.7.1; default model pipeline; input text unchanged,F = spaCy tokens with is_punct false and no ASCII apostrophe anywhere in token.text; whitespace tokens remain; median of len(token),English tokenizer,NA when F is empty,https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/descriptive_stats.html
writing_features_v2,23,sentence_length_median,textdescriptives,2.8.4,descriptive_stats,sentence_length_median,sentence_syntactic_complexity,double,tokens per sentence,Upstream scalar summary of sentence_length_median; no universal writing-quality direction,spacy=3.7.5; model=en_core_web_lg@3.7.1; default model pipeline; input text unchanged,F = spaCy tokens with is_punct false and no ASCII apostrophe anywhere in token.text; whitespace tokens remain; median of len(F within sentence) across doc.sents,English tokenizer; SENT_START from model parser,NA when no sentences; punctuation-only sentence has length 0,https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/descriptive_stats.html
writing_features_v2,24,syllables_per_token_mean,textdescriptives,2.8.4,descriptive_stats,syllables_per_token_mean,lexical_surface_complexity,double,syllables per filtered token,Upstream scalar summary of syllables_per_token_mean; no universal writing-quality direction,spacy=3.7.5; model=en_core_web_lg@3.7.1; default model pipeline; input text unchanged; Pyphen=0.18.1; lang=en,"F = spaCy tokens with is_punct false and no ASCII apostrophe anywhere in token.text; whitespace tokens remain; mean of max(1, Pyphen(lang=doc.lang_).inserted(token.lower_).count(hyphen) + 1); includes existing hyphens; English en dictionary (en_GB fallback)",English tokenizer; Pyphen=0.18.1 English en dictionary,NA when F is empty; missing dictionary is an environment error,https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/descriptive_stats.html
writing_features_v2,25,syllables_per_token_median,textdescriptives,2.8.4,descriptive_stats,syllables_per_token_median,lexical_surface_complexity,double,syllables per filtered token,Upstream scalar summary of syllables_per_token_median; no universal writing-quality direction,spacy=3.7.5; model=en_core_web_lg@3.7.1; default model pipeline; input text unchanged; Pyphen=0.18.1; lang=en,"F = spaCy tokens with is_punct false and no ASCII apostrophe anywhere in token.text; whitespace tokens remain; median of max(1, Pyphen(lang=doc.lang_).inserted(token.lower_).count(hyphen) + 1); includes existing hyphens; English en dictionary (en_GB fallback)",English tokenizer; Pyphen=0.18.1 English en dictionary,NA when F is empty; missing dictionary is an environment error,https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/descriptive_stats.html
writing_features_v2,26,syllables_per_token_std,textdescriptives,2.8.4,descriptive_stats,syllables_per_token_std,lexical_surface_complexity,double,syllables per filtered token,Upstream scalar summary of syllables_per_token_std; no universal writing-quality direction,spacy=3.7.5; model=en_core_web_lg@3.7.1; default model pipeline; input text unchanged; Pyphen=0.18.1; lang=en,"F = spaCy tokens with is_punct false and no ASCII apostrophe anywhere in token.text; whitespace tokens remain; population SD (ddof=0) of max(1, Pyphen(lang=doc.lang_).inserted(token.lower_).count(hyphen) + 1); includes existing hyphens; English en dictionary (en_GB fallback)",English tokenizer; Pyphen=0.18.1 English en dictionary,NA when F is empty; missing dictionary is an environment error,https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/descriptive_stats.html
writing_features_v2,27,pos_prop_aux,textdescriptives,2.8.4,pos_proportions,pos_prop_AUX,pos_composition,double,proportion,Larger means a larger share of AUX tokens; no universal quality direction,spacy=3.7.5; model=en_core_web_lg@3.7.1; default model pipeline; input text unchanged; use_pos=True; add_all_tags=True,Count token.pos_ == AUX divided by len(doc); denominator includes punctuation and whitespace,English tokenizer; POS from model tagger and attribute_ruler,NA for zero tokens; absent category is valid 0,https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/pos_proportions.html
writing_features_v2,28,pos_prop_det,textdescriptives,2.8.4,pos_proportions,pos_prop_DET,pos_composition,double,proportion,Larger means a larger share of DET tokens; no universal quality direction,spacy=3.7.5; model=en_core_web_lg@3.7.1; default model pipeline; input text unchanged; use_pos=True; add_all_tags=True,Count token.pos_ == DET divided by len(doc); denominator includes punctuation and whitespace,English tokenizer; POS from model tagger and attribute_ruler,NA for zero tokens; absent category is valid 0,https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/pos_proportions.html
writing_features_v2,29,pos_prop_part,textdescriptives,2.8.4,pos_proportions,pos_prop_PART,pos_composition,double,proportion,Larger means a larger share of PART tokens; no universal quality direction,spacy=3.7.5; model=en_core_web_lg@3.7.1; default model pipeline; input text unchanged; use_pos=True; add_all_tags=True,Count token.pos_ == PART divided by len(doc); denominator includes punctuation and whitespace,English tokenizer; POS from model tagger and attribute_ruler,NA for zero tokens; absent category is valid 0,https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/pos_proportions.html
writing_features_v2,30,prop_adjacent_dependency_relation_std,textdescriptives,2.8.4,dependency_distance,prop_adjacent_dependency_relation_std,dependency_characteristics,double,proportion,Upstream scalar summary of prop_adjacent_dependency_relation_std; no universal writing-quality direction,spacy=3.7.5; model=en_core_web_lg@3.7.1; default model pipeline; input text unchanged,For each token distance=0 at ROOT else abs(token.head.i-token.i); population SD (ddof=0) across sentence proportions with distance==1; all tokens included; equal sentence weights,English tokenizer; DEP and SENT_START from model parser,NA for zero tokens; one sentence has SD 0,https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/dependency_distance.html
writing_features_v2,31,second_order_coherence,textdescriptives,2.8.4,coherence,second_order_coherence,semantic_coherence,double,cosine similarity,Upstream scalar summary of second_order_coherence; no universal writing-quality direction,spacy=3.7.5; model=en_core_web_lg@3.7.1; default model pipeline; input text unchanged,Mean of sentence.similarity(sentence two positions later) across doc.sents; upstream nanmean for multiple pairs; static sentence vectors,English tokenizer; SENT_START; static 300-dimensional vectors from en_core_web_lg=3.7.1,NA for fewer than 3 sentences; preserve upstream zero-vector values and warnings,https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/coherence.html
writing_features_v2,32,gunning_fog,textdescriptives,2.8.4,readability,gunning_fog,readability,double,readability score,Larger means harder reading under this upstream formula; not a quality score,spacy=3.7.5; model=en_core_web_lg@3.7.1; default model pipeline; input text unchanged,F = spaCy tokens with is_punct false and no ASCII apostrophe anywhere in token.text; whitespace tokens remain; 0.4 * (sentence_length_mean + 100 * count(F with Pyphen syllables >= 3) / n_tokens),English tokenizer; SENT_START from model parser; Pyphen=0.18.1 English dictionary,NA when n_tokens == 0,https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/readability.html
writing_features_v2,33,lix,textdescriptives,2.8.4,readability,lix,readability,double,readability score,Larger means harder reading under this upstream formula; not a quality score,spacy=3.7.5; model=en_core_web_lg@3.7.1; default model pipeline; input text unchanged,F = spaCy tokens with is_punct false and no ASCII apostrophe anywhere in token.text; whitespace tokens remain; sentence_length_mean + 100 * count(F with len(token) > 6) / n_tokens,English tokenizer; SENT_START from model parser; Pyphen=0.18.1 English dictionary,NA when n_tokens == 0,https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/readability.html
writing_features_v2,34,textstat_char_count,textstat,0.7.13,public API,char_count,length_productivity,integer,count,Larger means greater text productivity under the stated counting rule,textstat instance; lang=en_US; default rounding disabled; unmodified text; default punctuation/apostrophe handling; ignore_spaces=True,"len(re.sub(r'\s', '', text)); remove all regex whitespace; retain punctuation",textstat English easy-word list; preinstalled NLTK CMUdict; Pyphen=0.18.1 English dictionary; no spaCy annotations,Finite nonnegative integer; 0 for empty string; sentence_count is 1 for nonempty wordless input,https://pypi.org/project/textstat/0.7.13/
writing_features_v2,35,textstat_letter_count,textstat,0.7.13,public API,letter_count,lexical_surface_complexity,integer,count,Upstream scalar summary of textstat_letter_count; no universal writing-quality direction,textstat instance; lang=en_US; default rounding disabled; unmodified text; default punctuation/apostrophe handling; ignore_spaces=None; punctuation removal default,Remove regex whitespace then upstream punctuation with rm_apostrophe=True; count remaining characters (includes digits; not Unicode alphabetic count),textstat English easy-word list; preinstalled NLTK CMUdict; Pyphen=0.18.1 English dictionary; no spaCy annotations,Finite nonnegative integer; 0 for empty string; sentence_count is 1 for nonempty wordless input,https://pypi.org/project/textstat/0.7.13/
writing_features_v2,36,textstat_lexicon_count,textstat,0.7.13,public API,lexicon_count,length_productivity,integer,count,Larger means greater text productivity under the stated counting rule,textstat instance; lang=en_US; default rounding disabled; unmodified text; default punctuation/apostrophe handling; removepunct=True; split_contractions=False; split_hyphens=False,Count upstream list_words after punctuation removal; whitespace splitting; retain contraction apostrophes; remove hyphens without splitting,textstat English easy-word list; preinstalled NLTK CMUdict; Pyphen=0.18.1 English dictionary; no spaCy annotations,Finite nonnegative integer; 0 for empty string; sentence_count is 1 for nonempty wordless input,https://pypi.org/project/textstat/0.7.13/
writing_features_v2,37,textstat_miniword_count,textstat,0.7.13,public API,miniword_count,lexical_surface_complexity,integer,count,Upstream scalar summary of textstat_miniword_count; no universal writing-quality direction,textstat instance; lang=en_US; default rounding disabled; unmodified text; default punctuation/apostrophe handling; max_size=3,Count list_words with rm_apostrophe=True and len(word) <= 3,textstat English easy-word list; preinstalled NLTK CMUdict; Pyphen=0.18.1 English dictionary; no spaCy annotations,Finite nonnegative integer; 0 for empty string; sentence_count is 1 for nonempty wordless input,https://pypi.org/project/textstat/0.7.13/
writing_features_v2,38,textstat_syllable_count,textstat,0.7.13,public API,syllable_count,lexical_surface_complexity,integer,count,Upstream scalar summary of textstat_syllable_count; no universal writing-quality direction,textstat instance; lang=en_US; default rounding disabled; unmodified text; default punctuation/apostrophe handling; lang=en_US,Sum English CMUdict first-pronunciation vowel counts; fallback 1 + len(Pyphen.positions(word)); lowercased upstream list_words,textstat English easy-word list; preinstalled NLTK CMUdict; Pyphen=0.18.1 English dictionary; no spaCy annotations,Finite nonnegative integer; 0 for empty string; sentence_count is 1 for nonempty wordless input,https://pypi.org/project/textstat/0.7.13/
writing_features_v2,39,textstat_sentence_count,textstat,0.7.13,public API,sentence_count,sentence_syntactic_complexity,integer,count,Upstream scalar summary of textstat_sentence_count; no universal writing-quality direction,textstat instance; lang=en_US; default rounding disabled; unmodified text; default punctuation/apostrophe handling; upstream regex and <=2-word discount,"0 for empty string; otherwise max(1, count(regex segments r'\b[^.!?]+[.!?]*') - count(segments with <=2 upstream words))",textstat English easy-word list; preinstalled NLTK CMUdict; Pyphen=0.18.1 English dictionary; no spaCy annotations,Finite nonnegative integer; 0 for empty string; sentence_count is 1 for nonempty wordless input,https://pypi.org/project/textstat/0.7.13/
writing_features_v2,40,textstat_polysyllabcount,textstat,0.7.13,public API,polysyllabcount,lexical_surface_complexity,integer,count,Upstream scalar summary of textstat_polysyllabcount; no universal writing-quality direction,textstat instance; lang=en_US; default rounding disabled; unmodified text; default punctuation/apostrophe handling; upstream list_words defaults,Count upstream list_words whose textstat syllable_count >= 3,textstat English easy-word list; preinstalled NLTK CMUdict; Pyphen=0.18.1 English dictionary; no spaCy annotations,Finite nonnegative integer; 0 for empty string; sentence_count is 1 for nonempty wordless input,https://pypi.org/project/textstat/0.7.13/
writing_features_v2,41,textstat_linsear_write_formula,textstat,0.7.13,public API,linsear_write_formula,readability,double,readability score,Larger means harder reading under this upstream formula; not a quality score,textstat instance; lang=en_US; default rounding disabled; unmodified text; default punctuation/apostrophe handling; strict_lower=False; strict_upper=True,"Use first 100 nonempty punctuation-stripped words, retaining corresponding raw token span for sentence_count; weight 1 for 1-2 syllables and 3 for >=3; q = weighted sum / sentence_count(span); return (q-2)/2 if q<=20 else q/2",textstat English easy-word list; preinstalled NLTK CMUdict; Pyphen=0.18.1 English dictionary; no spaCy annotations,0 if span sentence denominator is zero; other finite negatives are retained,https://pypi.org/project/textstat/0.7.13/
writing_features_v2,42,textstat_difficult_words,textstat,0.7.13,public API,difficult_words,lexical_surface_complexity,integer,count,Upstream scalar summary of textstat_difficult_words; no universal writing-quality direction,textstat instance; lang=en_US; default rounding disabled; unmodified text; default punctuation/apostrophe handling; syllable_threshold=2; unique=True,Number of unique case-sensitive upstream word forms classified as difficult after lowercasing for English easy-word membership and >=2 textstat syllables; distinct from readability occurrence counts,textstat English easy-word list; preinstalled NLTK CMUdict; Pyphen=0.18.1 English dictionary; no spaCy annotations,Finite nonnegative integer; 0 for empty string; sentence_count is 1 for nonempty wordless input,https://pypi.org/project/textstat/0.7.13/
writing_features_v2,43,textstat_gunning_fog,textstat,0.7.13,public API,gunning_fog,readability,double,readability score,Larger means harder reading under this upstream formula; not a quality score,textstat instance; lang=en_US; default rounding disabled; unmodified text; default punctuation/apostrophe handling; lang=en_US; English syllable_threshold=3,0.4 * (words_per_sentence + 100 * difficult word occurrences / lexicon_count); English difficult threshold=3; uses easy-word membership (not polysyllabcount),textstat English easy-word list; preinstalled NLTK CMUdict; Pyphen=0.18.1 English dictionary; no spaCy annotations,0 when lexicon_count is zero,https://pypi.org/project/textstat/0.7.13/
writing_features_v2,44,textstat_spache_readability,textstat,0.7.13,public API,spache_readability,readability,double,readability score,Larger means harder reading under this upstream formula; not a quality score,textstat instance; lang=en_US; default rounding disabled; unmodified text; default punctuation/apostrophe handling; float_output=True; lang=en_US,0.141 * words_per_sentence + 0.086 * (100 * difficult word occurrences / lexicon_count) + 0.839; occurrence threshold=2; easy-word membership,textstat English easy-word list; preinstalled NLTK CMUdict; Pyphen=0.18.1 English dictionary; no spaCy annotations,0 when lexicon_count is zero,https://pypi.org/project/textstat/0.7.13/
writing_features_v2,45,textstat_long_word_count,textstat,0.7.13,public API,long_word_count,lexical_surface_complexity,integer,count,Upstream scalar summary of textstat_long_word_count; no universal writing-quality direction,textstat instance; lang=en_US; default rounding disabled; unmodified text; default punctuation/apostrophe handling; threshold=6,Count upstream list_words with rm_apostrophe=True and len(word) > 6,textstat English easy-word list; preinstalled NLTK CMUdict; Pyphen=0.18.1 English dictionary; no spaCy annotations,Finite nonnegative integer; 0 for empty string; sentence_count is 1 for nonempty wordless input,https://pypi.org/project/textstat/0.7.13/
writing_features_v2,46,textstat_monosyllabcount,textstat,0.7.13,public API,monosyllabcount,lexical_surface_complexity,integer,count,Upstream scalar summary of textstat_monosyllabcount; no universal writing-quality direction,textstat instance; lang=en_US; default rounding disabled; unmodified text; default punctuation/apostrophe handling; upstream list_words defaults,Count upstream list_words whose textstat syllable_count == 1,textstat English easy-word list; preinstalled NLTK CMUdict; Pyphen=0.18.1 English dictionary; no spaCy annotations,Finite nonnegative integer; 0 for empty string; sentence_count is 1 for nonempty wordless input,https://pypi.org/project/textstat/0.7.13/
